Country,Year,Gender,Cause of death,Age/All age,Age/0-4,Age/5-14,Age/15-59,Age/60+,Country Code,
Afghanistan,2019,Total,Injury,17.3%,12.0%,42.2%,26.1%,11.5%,AFG,
Albania,2019,Total,Injury,3%,5.2%,39.3%,19.4%,1.5%,ALB,
Algeria,2019,Total,Injury,7.7%,5.7%,44.1%,23.5%,26.0%,DZA,
American Samoa,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,ASM,
Andorra,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,AND,
Angola,2019,Total,Injury,9.1%,5.0%,22.0%,15.1%,4.6%,AGO,
Antigua and Barbuda,2019,Total,Injury,5.4%,0.3%,32.4%,15.4%,2.3%,ATG,
Argentina,2019,Total,Injury,5.7%,6.0%,36.7%,21.6%,2.2%,ARG,
Armenia,2019,Total,Injury,4.7%,7.8%,34.3%,15.6%,2.2%,ARM,
Aruba,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,ABW,
Australia,2019,Total,Injury,5.9%,6.1%,32.6%,20.4%,3.9%,AUS,
Austria,2019,Total,Injury,5.4%,6.0%,25.8%,18.9%,4.0%,AUT,
Azerbaijan,2019,Total,Injury,3.8%,6.9%,28.1%,10.8%,1.0%,AZE,
"Bahamas, The",2019,Total,Injury,13.9%,6.1%,63.2%,26.1%,4.8%,BHS,
Bahrain,2019,Total,Injury,8.9%,2.8%,27.3%,21.1%,1.4%,BHR,
Bangladesh,2019,Total,Injury,7.1%,5.6%,33.3%,14.1%,2.9%,BGD,
Barbados,2019,Total,Injury,4.3%,11.8%,10.1%,12.7%,2.8%,BRB,
Belarus,2019,Total,Injury,5.7%,7.5%,42.8%,18.9%,2.6%,BLR,
Belgium,2019,Total,Injury,6.1%,7.3%,30.9%,22.2%,4.5%,BEL,
Belize,2019,Total,Injury,18.8%,6.6%,45.0%,36.3%,5.6%,BLZ,
Benin,2019,Total,Injury,9.2%,4.8%,23.8%,16.8%,5.7%,BEN,
Bermuda,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,BMU,
Bhutan,2019,Total,Injury,9%,7.1%,34.1%,18.0%,5.6%,BTN,
Bolivia,2019,Total,Injury,8.7%,7.3%,41.6%,24.4%,4.2%,BOL,
Bosnia and Herzegovina,2019,Total,Injury,3.8%,4.1%,45.1%,14.1%,2.2%,BIH,
Botswana,2019,Total,Injury,9.4%,6.4%,29.2%,14.1%,3.7%,BWA,
Brazil,2019,Total,Injury,11.6%,5.9%,36.0%,30.3%,3.9%,BRA,
British Virgin Islands,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,VGB,
Brunei Darussalam,2019,Total,Injury,5.0%,2.5%,24.4%,10.0%,2.3%,BRN,
Bulgaria,2019,Total,Injury,2.5%,6.3%,31.3%,9.2%,1.4%,BGR,
Burkina Faso,2019,Total,Injury,11.1%,5.7%,22.5%,20.6%,7.0%,BFA,
Burundi,2019,Total,Injury,12.1%,7.2%,25.2%,18.0%,7.0%,BDI,
Cabo Verde,2019,Total,Injury,14.1%,7.3%,50.9%,30.1%,6.5%,CPV,
Cambodia,2019,Total,Injury,9.2%,7.1%,33.0%,16.8%,4.2%,KHM,
Cameroon,2019,Total,Injury,10.5%,5.2%,24.3%,15.6%,6.4%,CMR,
Canada,2019,Total,Injury,5.4%,6.4%,36.9%,17.9%,3.6%,CAN,
Cayman Islands,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,CYM,
Central African Republic,2019,Total,Injury,9%,3.0%,21.0%,16.2%,4.6%,CAF,
Chad,2019,Total,Injury,9.6%,5.3%,24.3%,16.6%,6.4%,TCD,
Channel Islands,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,CHI,
Chile,2019,Total,Injury,7.8%,7.0%,34.5%,26.1%,3.5%,CHL,
China,2019,Total,Injury,6.8%,13.8%,53.8%,18.8%,3.6%,CHN,
Colombia,2019,Total,Injury,14%,4.9%,43.3%,43.0%,4.2%,COL,
Comoros,2019,Total,Injury,11.2%,6.0%,32.4%,20.1%,6.9%,COM,
"Congo, Dem. Rep.",2019,Total,Injury,9.7%,3.9%,25.5%,19.7%,5.0%,COD,
"Congo, Rep.",2019,Total,Injury,9.5%,4.0%,24.1%,15.0%,5.1%,COG,
Costa Rica,2019,Total,Injury,10.9%,3.8%,22.6%,30.4%,4.5%,CRI,
Cote d'Ivoire,2019,Total,Injury,10%,4.6%,23.3%,16.2%,6.5%,CIV,
Croatia,2019,Total,Injury,5.1%,3.2%,28.8%,15.4%,3.9%,HRV,
Cuba,2019,Total,Injury,7.5%,8.8%,31.6%,14.6%,6.0%,CUB,
Curacao,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,CUW,
Cyprus,2019,Total,Injury,5.3%,3.1%,22.4%,19.1%,3.8%,CYP,
Czechia,2019,Total,Injury,4.8%,6.9%,38.2%,16.8%,3.3%,CZE,
Denmark,2019,Total,Injury,3.5%,4.4%,35.7%,13.2%,2.6%,DNK,
Djibouti,2019,Total,Injury,10.8%,4.7%,25.9%,17.0%,6.5%,DJI,
Dominica,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,DMA,
Dominican Republic,2019,Total,Injury,15.5%,7.3%,60.1%,35.2%,6.8%,DOM,
Ecuador,2019,Total,Injury,11.5%,8.4%,42.3%,31.3%,4.4%,ECU,
"Egypt, Arab Rep.",2019,Total,Injury,4.8%,3.5%,22.3%,12.0%,1.5%,EGY,
El Salvador,2019,Total,Injury,19.1%,5.9%,45.9%,45.1%,7.2%,SLV,
Equatorial Guinea,2019,Total,Injury,7.7%,2.8%,21.6%,11.8%,5.1%,GNQ,
Eritrea,2019,Total,Injury,11.9%,8.2%,27.3%,19.4%,7.3%,ERI,
Estonia,2019,Total,Injury,4.2%,13.7%,41.9%,16.7%,2.4%,EST,
Eswatini,2019,Total,Injury,12.1%,7.5%,28.5%,18.4%,3.4%,SWZ,
Ethiopia,2019,Total,Injury,12.1%,6.9%,28.4%,19.5%,8.9%,ETH,
Faroe Islands,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,FRO,
Fiji,2019,Total,Injury,5.9%,10.8%,35.7%,10.8%,1.8%,FJI,
Finland,2019,Total,Injury,5.6%,6.2%,31.0%,21.4%,4.2%,FIN,
France,2019,Total,Injury,6.4%,6.7%,30.0%,16.7%,5.2%,FRA,
French Polynesia,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,PYF,
Gabon,2019,Total,Injury,8.7%,3.3%,22.9%,14.5%,4.7%,GAB,
"Gambia, The",2019,Total,Injury,10.7%,6.3%,27.1%,14.7%,8.5%,GMB,
Georgia,2019,Total,Injury,3.9%,7.4%,39.5%,14.2%,1.7%,GEO,
Germany,2019,Total,Injury,4.6%,4.8%,23.9%,12.0%,3.8%,DEU,
Ghana,2019,Total,Injury,9.4%,5.2%,23.2%,14.1%,5.0%,GHA,
Gibraltar,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,GIB,
Greece,2019,Total,Injury,3.9%,8.6%,38.0%,12.9%,3.1%,GRC,
Greenland,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,GRL,
Grenada,2019,Total,Injury,5.9%,2.3%,37.5%,15.5%,3.2%,GRD,
Guam,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,GUM,
Guatemala,2019,Total,Injury,16.1%,8.3%,34.7%,34.3%,4.8%,GTM,
Guinea,2019,Total,Injury,8.8%,3.8%,22.1%,16.0%,6.0%,GIN,
Guinea-Bissau,2019,Total,Injury,9.2%,5.6%,25.2%,13.3%,5.4%,GNB,
Guyana,2019,Total,Injury,12.9%,8.7%,43.0%,27.0%,4.1%,GUY,
Haiti,2019,Total,Injury,10.6%,8.1%,39.7%,20.4%,3.1%,HTI,
Honduras,2019,Total,Injury,17.9%,3.8%,55.3%,41.7%,7.3%,HND,
"Hong Kong SAR, China",2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,HKG,
Hungary,2019,Total,Injury,4.1%,6.2%,31.2%,12.7%,2.9%,HUN,
Iceland,2019,Total,Injury,5.6%,1.0%,61.5%,20.0%,3.8%,ISL,
India,2019,Total,Injury,9.9%,3.4%,23.6%,18.6%,6.1%,IND,
Indonesia,2019,Total,Injury,4.7%,480.0%,19.4%,8.8%,2.5%,IDN,
"Iran, Islamic Rep.",2019,Total,Injury,10.6%,6.2%,44.3%,28.7%,3.3%,IRN,
Iraq,2019,Total,Injury,17.8%,7.3%,61.1%,41.6%,3.9%,IRQ,
Ireland,2019,Total,Injury,3.9%,2.6%,22.9%,18.0%,2.0%,IRL,
Isle of Man,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,IMN,
Israel,2019,Total,Injury,4.2%,6.8%,28.4%,16.1%,2.7%,ISR,
Italy,2019,Total,Injury,3.9%,3.2%,19.9%,12.3%,3.2%,ITA,
Jamaica,2019,Total,Injury,11.7%,2.1%,53.9%,24.6%,7.6%,JAM,
Japan,2019,Total,Injury,4.9%,9.6%,31.6%,20.6%,3.9%,JPN,
Jordan,2019,Total,Injury,10.4%,9.0%,59.4%,24.0%,2.9%,JOR,
Kazakhstan,2019,Total,Injury,8.2%,8.0%,51.7%,22.1%,2.3%,KAZ,
Kenya,2019,Total,Injury,10.9%,6.6%,18.8%,14.0%,8.0%,KEN,
Kiribati,2019,Total,Injury,5.6%,5.1%,13.1%,9.4%,1.3%,KIR,
"Korea, Dem. People's Rep.",2019,Total,Injury,6.8%,7.1%,39.3%,16.0%,2.8%,PRK,
"Korea, Rep.",2019,Total,Injury,9.3%,8.5%,39.4%,27.7%,5.7%,KOR,
Kosovo,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,XKX,
Kuwait,2019,Total,Injury,13.5%,6.1%,45.4%,21.7%,4.7%,KWT,
Kyrgyz Republic,2019,Total,Injury,8.0%,4.9%,44.1%,18.9%,1.8%,KGZ,
Lao PDR,2019,Total,Injury,9.0%,8.3%,32.3%,16.9%,2.7%,LAO,
Latvia,2019,Total,Injury,5.0%,10.5%,41.6%,18.5%,2.6%,LVA,
Lebanon,2019,Total,Injury,5.9%,6.9%,29.2%,17.2%,2.1%,LBN,
Lesotho,2019,Total,Injury,12.7%,5.4%,19.1%,20.2%,4.0%,LSO,
Liberia,2019,Total,Injury,9.9%,4.5%,32.6%,14.1%,8.5%,LBR,
Libya,2019,Total,Injury,14.6%,8.7%,50.7%,28.9%,3.5%,LBY,
Liechtenstein,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,LIE,
Lithuania,2019,Total,Injury,5.4%,7.2%,49.7%,19.3%,3.2%,LTU,
Luxembourg,2019,Total,Injury,6.0%,9.0%,21.1%,18.0%,4.6%,LUX,
"Macao SAR, China",2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,MAC,
Madagascar,2019,Total,Injury,9.5%,5.7%,20.2%,14.3%,5.7%,MDG,
Malawi,2019,Total,Injury,10.2%,5.9%,23.2%,12.3%,8.4%,MWI,
Malaysia,2019,Total,Injury,8.4%,6.8%,32.1%,19.3%,4.0%,MYS,
Maldives,2019,Total,Injury,6.7%,3.9%,36.1%,17.9%,2.9%,MDV,
Mali,2019,Total,Injury,9.4%,5.0%,21.5%,17.4%,6.0%,MLI,
Malta,2019,Total,Injury,3.3%,0.1%,35.0%,14.5%,2.2%,MLT,
Marshall Islands,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,MHL,
Mauritania,2019,Total,Injury,10.2%,5.8%,36.5%,20.3%,5.8%,MRT,
Mauritius,2019,Total,Injury,4.4%,3.3%,21.0%,11.7%,1.7%,MUS,
Mexico,2019,Total,Injury,10.5%,7.4%,34.1%,27.0%,3.1%,MEX,
"Micronesia, Fed. Sts.",2019,Total,Injury,7.8%,4.6%,23.9%,13.5%,1.9%,FSM,
Moldova,2019,Total,Injury,6.0%,6.6%,49.0%,17.0%,2.7%,MDA,
Monaco,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,MCO,
Mongolia,2019,Total,Injury,11.0%,7.5%,53.1%,20.7%,1.9%,MNG,
Montenegro,2019,Total,Injury,4.5%,3.1%,50.8%,16.4%,2.6%,MNE,
Morocco,2019,Total,Injury,6.9%,6.8%,41.7%,17.7%,3.0%,MAR,
Mozambique,2019,Total,Injury,9.4%,5.0%,18.0%,12.6%,7.6%,MOZ,
Myanmar,2019,Total,Injury,7.3%,7.0%,26.6%,13.3%,3.4%,MMR,
Namibia,2019,Total,Injury,11.8%,7.2%,30.9%,18.6%,4.2%,NAM,
Nauru,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,NRU,
Nepal,2019,Total,Injury,8.7%,6.8%,26.8%,16.8%,5.2%,NPL,
Netherlands,2019,Total,Injury,5.8%,4.4%,24.4%,14.5%,4.9%,NLD,
New Caledonia,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,NCL,
New Zealand,2019,Total,Injury,6.0%,13.1%,48.9%,22.3%,3.5%,NZL,
Nicaragua,2019,Total,Injury,8.9%,3.7%,31.3%,24.4%,3.6%,NIC,
Niger,2019,Total,Injury,10.5%,5.9%,22.6%,18.1%,6.5%,NER,
Nigeria,2019,Total,Injury,7.7%,5.0%,19.0%,12.1%,5.9%,NGA,
North Macedonia,2019,Total,Injury,2.6%,2.4%,32.3%,9.8%,1.5%,MKD,
Northern Mariana Islands,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,MNP,
Norway,2019,Total,Injury,5.6%,2.8%,26.0%,19.4%,4.3%,NOR,
Oman,2019,Total,Injury,10.4%,5.4%,32.2%,24.7%,2.6%,OMN,
Pakistan,2019,Total,Injury,7.0%,5.9%,15.8%,13.5%,2.6%,PAK,
Palau,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,PLW,
Panama,2019,Total,Injury,8.8%,2.8%,33.2%,27.0%,2.5%,PAN,
Papua New Guinea,2019,Total,Injury,7.4%,4.7%,22.0%,11..7%,3.0%,PNG,
Paraguay,2019,Total,Injury,11.1%,7.1%,39.1%,28.2%,3.6%,PRY,
Peru,2019,Total,Injury,9.9%,9.2%,38.5%,26.4%,3.6%,PER,
Philippines,2019,Total,Injury,6.0%,5.9%,19.4%,14.5%,1.9%,PHL,
Poland,2019,Total,Injury,4.2%,4.7%,33.7%,15.3%,2.4%,POL,
Portugal,2019,Total,Injury,4.8%,3.4%,21.9%,14.7%,3.8%,PRT,
Puerto Rico,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,PRI,
Qatar,2019,Total,Injury,18.2%,5.4%,31.9%,36.3%,2.4%,QAT,
Romania,2019,Total,Injury,3.6%,9.2%,39.6%,12.8%,2.0%,ROU,
Russian Federation,2019,Total,Injury,6.8%,8.1%,55.0%,19.9%,2.6%,RUS,
Rwanda,2019,Total,Injury,11.4%,6.6%,28.4%,16.9%,7.2%,RWA,
Samoa,2019,Total,Injury,7.9%,5.2%,24.0%,16.3%,2.5%,WSM,
San Marino,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,SMR,
Sao Tome and Principe,2019,Total,Injury,11.4%,8.9%,34.5%,19.3%,5.9%,STP,
Saudi Arabia,2019,Total,Injury,19.5%,6.6%,39.7%,32.7%,5.3%,SAU,
Senegal,2019,Total,Injury,11.3%,7.6%,26.6%,17.8%,6.9%,SEN,
Serbia,2019,Total,Injury,2.4%,4.6%,26.0%,9.5%,1.4%,SRB,
Seychelles,2019,Total,Injury,7.5%,8.8%,37.0%,18.0%,2.7%,SYC,
Sierra Leone,2019,Total,Injury,9.2%,4.7%,23.9%,15.7%,5.8%,SLE,
Singapore,2019,Total,Injury,4.3%,4.7%,41.3%,13.1%,2.0%,SGP,
Sint Maarten (Dutch part),2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,SXM,
Slovak Republic,2019,Total,Injury,6.3%,2.8%,31.1%,18.5%,4.1%,SVK,
Slovenia,2019,Total,Injury,7.4%,2.8%,33.6%,2.0%,6.0%,SVN,
Solomon Islands,2019,Total,Injury,9.8%,5.6%,31.7%,17.5%,2.9%,SLB,
Somalia,2019,Total,Injury,9.1%,5.1%,21.1%,15.1%,6.5%,SOM,
South Africa,2019,Total,Injury,13.0%,6.8%,21.7%,20.0%,3.9%,ZAF,
South Sudan,2019,Total,Injury,10.8%,6.3%,25.3%,15.9%,9.0%,SSD,
Spain,2019,Total,Injury,3.6%,5.6%,17.4%,12.5%,2.7%,ESP,
Sri Lanka,2019,Total,Injury,8.0%,6.1%,33.0%,25.8%,3.7%,LKA,
St. Kitts and Nevis,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,KNA,
St. Lucia,2019,Total,Injury,10.0%,2.1%,59.4%,28.6%,3.6%,LCA,
St. Martin (French part),2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,MAF,
St. Vincent and the Grenadines,2019,Total,Injury,7.8%,2.6%,39.7%,20.3%,1.8%,VCT,
Sudan,2019,Total,Injury,10.5%,7.0%,32.9%,22.1%,4.3%,SDN,
Suriname,2019,Total,Injury,9.6%,8.5%,42.4%,19.9%,4.4%,SUR,
Sweden,2019,Total,Injury,5.0%,4.3%,24.7%,23.4%,3.6%,SWE,
Switzerland,2019,Total,Injury,5.7%,3.9%,29.9%,18.4%,4.6%,CHE,
Syrian Arab Republic,2019,Total,Injury,14.1%,8.5%,34.1%,22.7%,10.5%,SYR,
Tajikistan,2019,Total,Injury,7.3%,7.0%,33.2%,18.2%,1.6%,TJK,
Tanzania,2019,Total,Injury,11.3%,7.4%,25.5%,15.6%,8.0%,TZA,
Thailand,2019,Total,Injury,9.5%,6.0%,50.6%,22.8%,3.9%,THA,
Timor-Leste,2019,Total,Injury,6.9%,5.7%,29.3%,12.9%,2.8%,TLS,
Togo,2019,Total,Injury,10.3%,3.8%,26.0%,18.5%,5.4%,TGO,
Tonga,2019,Total,Injury,9.5%,9.1%,51.7%,21.0%,3.8%,TON,
Trinidad and Tobago,2019,Total,Injury,10.4%,5.2%,36.2%,28.9%,2.5%,TTO,
Tunisia,2019,Total,Injury,6.9%,3.6%,45.5%,22.2%,2.7%,TUN,
Turkiye,2019,Total,Injury,4.7%,3.6%,31.2%,15.5%,2.1%,TUR,
Turkmenistan,2019,Total,Injury,5.7%,5.3%,32.7%,10.4%,2.1%,TKM,
Turks and Caicos Islands,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,TCA,
Tuvalu,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,TUV,
Uganda,2019,Total,Injury,12.8%,5.5%,25.5%,19.5%,8.8%,UGA,
Ukraine,2019,Total,Injury,5.0%,5.5%,42.7%,17.1%,1.8%,UKR,
United Arab Emirates,2019,Total,Injury,15.8%,5.0%,28.9%,23.4%,2.8%,ARE,
United Kingdom,2019,Total,Injury,3.7%,4.4%,22.6%,13.3%,2.6%,GBR,
United States,2019,Total,Injury,6.6%,11.7%,45.9%,19.8%,3.6%,USA,
Uruguay,2019,Total,Injury,7.3%,6.3%,42.9%,27.5%,3.8%,URY,
Uzbekistan,2019,Total,Injury,6.6%,8.1%,37.5%,15.4%,1.2%,UZB,
Vanuatu,2019,Total,Injury,9.2%,4.0%,29.4%,16.9%,2.4%,VUT,
"Venezuela, RB",2019,Total,Injury,19.4%,7.9%,59.4%,45.7%,6.8%,VEN,
Vietnam,2019,Total,Injury,9.3n%,6.0%,36.5%,20.6%,5.5%,VNM,
Virgin Islands (U.S.),2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,VIR,
West Bank and Gaza,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,PSE,
"Yemen, Rep.",2019,Total,Injury,19.5%,8.9%,51.0%,40.4%,4.0%,YEM,
Zambia,2019,Total,Injury,8.7%,5.9%,16.3%,11.9%,5.6%,ZMB,
Zimbabwe,2019,Total,Injury,13.1%,7.9%,29.5%,19.0%,6.8%,ZWE,
Afghanistan,2019,Total,NCD,49.8%,11.7%,23.2%,51.0%,80.4%,AFG,
Albania,2019,Total,NCD,93.9%,31.9%,47.2%,77.8%,96.2%,ALB,
Algeria,2019,Total,NCD,79.4%,22.7%,39.9%,67.4%,93.5%,DZA,
American Samoa,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,ASM,
Andorra,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,AND,
Angola,2019,Total,NCD,31.7%,10.6%,15.3%,33.5%,71.0%,AGO,
Antigua and Barbuda,2019,Total,NCD,84.8%,57.1%,51.7%,74.2%,88.7%,ATG,
Argentina,2019,Total,NCD,76.7%,37.4%,54.1%,66.6%,79.9%,ARG,
Armenia,2019,Total,NCD,88.6%,34.1%,44.2%,78.5%,92.2%,ARM,
Aruba,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,ABW,
Australia,2019,Total,NCD,89.1%,42.4%,60.9%,76.8%,91.2%,AUS,
Austria,2019,Total,NCD,91.0%,54.8%,67.4%,78.8%,92.4%,AUT,
Azerbaijan,2019,Total,NCD,90.2%,23.1%,36.8%,82.3%,97.2%,AZE,
"Bahamas, The",2019,Total,NCD,75.4%,25.0%,9.1%,60.2%,89.4%,BHS,
Bahrain,2019,Total,NCD,86.1%,49.0%,59.5%,75.5%,95.1%,BHR,
Bangladesh,2019,Total,NCD,70.3%,12.6%,17.4%,68.1%,84.9%,BGD,
Barbados,2019,Total,NCD,82.8%,37.0%,76.5%,70.9%,85.3%,BRB,
Belarus,2019,Total,NCD,92.7%,47.4%,47.1%,77.3%,96.5%,BLR,
Belgium,2019,Total,NCD,86.0%,45.1%,61.1%,73.9%,87.4%,BEL,
Belize,2019,Total,NCD,65.2%,25.8%,26.8%,46.0%,85.3%,BLZ,
Benin,2019,Total,NCD,39.0%,9.4%,23.9%,49.3%,73.8%,BEN,
Bermuda,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,BMU,
Bhutan,2019,Total,NCD,72.7%,15.8%,21.1%,60.7%,85.1%,BTN,
Bolivia,2019,Total,NCD,72.7%,20.6%,31.5%,61.8%,81.5%,BOL,
Bosnia and Herzegovina,2019,Total,NCD,94.4%,37.2%,40.5%,84.3%,96.2%,BIH,
Botswana,2019,Total,NCD,45.7%,16.2%,7.6%,29.0%,76.2%,BWA,
Brazil,2019,Total,NCD,74.7%,33.1%,51.2%,59.2%,83.1%,BRA,
British Virgin Islands,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,VGB,
Brunei Darussalam,2019,Total,NCD,84.7%,53.2%,71.3%,81.3%,88.2%,BRN,
Bulgaria,2019,Total,NCD,95.3%,34.9%,50.9%,87.2%,96.9%,BGR,
Burkina Faso,2019,Total,NCD,34.8%,8.7%,25.9%,47.8%,69.2%,BFA,
Burundi,2019,Total,NCD,36.8%,10.2%,13.9%,42.8%,67.9%,BDI,
Cabo Verde,2019,Total,NCD,70.1%,27.8%,19.6%,55.3%,81.5%,CPV,
Cambodia,2019,Total,NCD,67.7%,17.9%,27.9%,64.0%,80.6%,KHM,
Cameroon,2019,Total,NCD,37.7%,11.0%,23.2%,42.3%,71.3%,CMR,
Canada,2019,Total,NCD,89.8%,32.7%,57.5%,78.8%,91.9%,CAN,
Cayman Islands,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,CYM,
Central African Republic,2019,Total,NCD,31.9%,5.9%,12.1%,32.0%,64.6%,CAF,
Chad,2019,Total,NCD,27.0%,7.5%,17.1%,38.4%,64.9%,TCD,
Channel Islands,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,CHI,
Chile,2019,Total,NCD,85.1%,47.9%,61.3%,67.5%,89.9%,CHL,
China,2019,Total,NCD,89.6%,28.6%,34.9%,77.6%,93.8%,CHN,
Colombia,2019,Total,NCD,75.6%,34.2%,46.7%,48.0%,88.0%,COL,
Comoros,2019,Total,NCD,44.7%,10.2%,17.8%,53.3%,74.6%,COM,
"Congo, Dem. Rep.",2019,Total,NCD,34.1%,8.2%,17.2%,37.9%,72.7%,COD,
"Congo, Rep.",2019,Total,NCD,38.6%,11.0%,9.9%,30.4%,71.4%,COG,
Costa Rica,2019,Total,NCD,82.0%,47.8%,68.6%,62.5%,89.8%,CRI,
Cote d'Ivoire,2019,Total,NCD,35.7%,10.8%,21.7%,39.3%,69.2%,CIV,
Croatia,2019,Total,NCD,91.5%,41.4%,65.4%,81.9%,92.8%,HRV,
Cuba,2019,Total,NCD,83.3%,37.5%,59.2%,78.2%,84.7%,CUB,
Curacao,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,CUW,
Cyprus,2019,Total,NCD,89.9%,29.3%,70.1%,78.4%,91.5%,CYP,
Czechia,2019,Total,NCD,89.4%,36.1%,49.3%,79.1%,90.8%,CZE,
Denmark,2019,Total,NCD,89.7%,26.8%,63.4%,83.7%,90.5%,DNK,
Djibouti,2019,Total,NCD,51.8%,11.2%,15.3%,47.7%,73.3%,DJI,
Dominica,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,DMA,
Dominican Republic,2019,Total,NCD,71.9%,22.1%,27.9%,52.4%,88.1%,DOM,
Ecuador,2019,Total,NCD,76.2%,33.0%,40.3%,59.3%,86.3%,ECU,
"Egypt, Arab Rep.",2019,Total,NCD,85.6%,30.1%,53.1%,83.1%,95.2%,EGY,
El Salvador,2019,Total,NCD,65.1%,32.8%,40.5%,43.7%,77.5%,SLV,
Equatorial Guinea,2019,Total,NCD,32.8%,8.2%,18.8%,32.4%,76.0%,GNQ,
Eritrea,2019,Total,NCD,49.5%,12.9%,16.3%,44.4%,65.9%,ERI,
Estonia,2019,Total,NCD,92.2%,42.9%,50.9%,78.6%,94.3%,EST,
Eswatini,2019,Total,NCD,45.9%,15.5%,12.5%,32.0%,78.8%,SWZ,
Ethiopia,2019,Total,NCD,43.3%,10.1%,15.8%,44.5%,69.0%,ETH,
Faroe Islands,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,FRO,
Fiji,2019,Total,NCD,84.7%,30.7%,38.9%,82.5%,93.3%,FJI,
Finland,2019,Total,NCD,92.9%,52.8%,67.5%,76.9%,94.5%,FIN,
France,2019,Total,NCD,87.3%,40.6%,66.3%,80.3%,88.3%,FRA,
French Polynesia,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,PYF,
Gabon,2019,Total,NCD,45.0%,11.2%,15.0%,34.6%,74.3%,GAB,
"Gambia, The",2019,Total,NCD,37.1%,10.7%,20.8%,38.1%,65.8%,GMB,
Georgia,2019,Total,NCD,93.3%,36.2%,38.5%,81.4%,96.6%,GEO,
Germany,2019,Total,NCD,90.6%,43.4%,70.1%,84.7%,91.5%,DEU,
Ghana,2019,Total,NCD,45.4%,11.7%,20.5%,42.3%,71.6%,GHA,
Gibraltar,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,GIB,
Greece,2019,Total,NCD,83.2%,37.2%,57.6%,83.3%,83.4%,GRC,
Greenland,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,GRL,
Grenada,2019,Total,NCD,82.8%,22.3%,57.9%,75.9%,87.2%,GRD,
Guam,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,GUM,
Guatemala,2019,Total,NCD,61.6%,20.4%,33.6%,51.8%,77.6%,GTM,
Guinea,2019,Total,NCD,33.3%,6.8%,16.8%,42.3%,68.7%,GIN,
Guinea-Bissau,2019,Total,NCD,33.2%,10.3%,14.2%,31.7%,63.7%,GNB,
Guyana,2019,Total,NCD,69.6%,20.0%,36.7%,54.5%,84.5%,GUY,
Haiti,2019,Total,NCD,64.7%,13.2%,33.8%,60.8%,88.3%,HTI,
Honduras,2019,Total,NCD,71.4%,29.1%,36.0%,49.6%,86.8%,HND,
"Hong Kong SAR, China",2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,HKG,
Hungary,2019,Total,NCD,93.9%,38.9%,62.3%,85.1%,95.3%,HUN,
Iceland,2019,Total,NCD,89.5%,28.2%,22.0%,77.9%,91.2%,ISL,
